document_id,case_title,judges_name(s),date_of_judgment,citation,issues,decision,cited_cases,all_text
15,Case 15 vs Case 16,"D. Y. Chandrachud, Kurian Joseph","18 August, 2020",,Constitutional Law|Freedom of Speech,1,Keshavananda Bharati v. State of Kerala|MC Mehta v. Union of India,"In this case, the court examined the limits of freedom of speech under the Indian Constitution, ruling in favor of broader protections for individual expression."
16,Case 16 vs Case 17,"R. F. Nariman, Indu Malhotra","11 March, 2021",,Labour Laws|Corporate Governance,-1,Navtej Singh Johar v. Union of India|Vishaka v. State of Rajasthan,"The judgment highlighted the need for stricter labor law compliance in corporate governance cases, citing previous rulings on worker rights."
17,Case 17 vs Case 18,"A. K. Sikri, N. V. Ramana","28 May, 2019",,Contract breach|Section 420 in The Indian Penal Code,1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"The court reinforced that breaches of contract, when coupled with fraudulent practices, can lead to criminal prosecution under section 420 of the IPC."
18,Case 18 vs Case 19,"Madan B. Lokur, U. U. Lalit","14 September, 2022",,Environmental Law|Public Interest Litigation,1,MC Mehta v. Union of India|Aruna Shanbaug v. Union of India,"This public interest litigation brought attention to environmental regulations, stressing the need for legal reform in environmental protection."
19,Case 19 vs Case 20,"Arun Mishra, A. K. Sikri","07 November, 2023",,Defamation|Right to Privacy,1,Vishaka v. State of Rajasthan|Olga Tellis v. Bombay Municipal Corporation,"In a landmark decision, the court upheld the right to privacy, balancing it with defamation laws to protect personal reputation."
20,Case 20 vs Case 21,"U. U. Lalit, R. F. Nariman","19 October, 2021",,Bail under CrPC|Section 149 in The Indian Penal Code,-1,Olga Tellis v. Bombay Municipal Corporation|Navtej Singh Johar v. Union of India,"The ruling reinforced that bail must be carefully weighed against the severity of the crime, with the burden on the prosecution to present strong evidence."
21,Case 21 vs Case 22,"Kurian Joseph, N. V. Ramana","22 December, 2020",,Corporate Fraud|Contract breach,1,A. R. Antulay v. R. S. Nayak|Keshavananda Bharati v. State of Kerala,"Corporate fraud and contract breaches were at the center of this case, with the court highlighting transparency in financial dealings."
22,Case 22 vs Case 23,"Indu Malhotra, D. Y. Chandrachud","05 February, 2018",,Section 302 in The Indian Penal Code|Defamation,-1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"This case examined standards of evidence in serious criminal cases under section 302 IPC, with the court requiring stronger proof for defamation charges."
23,Case 23 vs Case 24,"A. K. Sikri, Arun Mishra","10 June, 2019",,Property Dispute|Contract Breach,1,Navtej Singh Johar v. Union of India|Olga Tellis v. Bombay Municipal Corporation,"Property rights were debated alongside contractual obligations in this dispute, with the court ultimately ruling in favor of the plaintiff."
24,Case 24 vs Case 25,"Madan B. Lokur, R. F. Nariman","16 July, 2022",,Fraudulent Transactions|Labour Law,1,MC Mehta v. Union of India|S. P. Gupta v. President of India,"The case explored issues related to labor law and fraudulent transactions in a corporate setting, emphasizing the need for compliance."
25,Case 25 vs Case 26,"D. Y. Chandrachud, Kurian Joseph","18 August, 2020",,Constitutional Law|Freedom of Speech,1,Keshavananda Bharati v. State of Kerala|MC Mehta v. Union of India,"In this case, the court examined the limits of freedom of speech under the Indian Constitution, ruling in favor of broader protections for individual expression."
26,Case 26 vs Case 27,"R. F. Nariman, Indu Malhotra","11 March, 2021",,Labour Laws|Corporate Governance,-1,Navtej Singh Johar v. Union of India|Vishaka v. State of Rajasthan,"The judgment highlighted the need for stricter labor law compliance in corporate governance cases, citing previous rulings on worker rights."
27,Case 27 vs Case 28,"A. K. Sikri, N. V. Ramana","28 May, 2019",,Contract breach|Section 420 in The Indian Penal Code,1,S. P. Gupta v. President of India|Indira Nehru Gandhi v. Raj Narain,"The court reinforced that breaches of contract, when coupled with fraudulent practices, can lead to criminal prosecution under section 420 of the IPC."
28,Case 28 vs Case 29,"Madan B. Lokur, U. U. Lalit","14 September, 2022",,Environmental Law|Public Interest Litigation,1,MC Mehta v. Union of India|Aruna Shanbaug v. Union of India,"This public interest litigation brought attention to environmental regulations, stressing the need for legal reform in environmental protection."
29,Case 29 vs Case 30,"Arun Mishra, A. K. Sikri","07 November, 2023",,Defamation|Right to Privacy,1,Vishaka v. State of Rajasthan|Olga Tellis v. Bombay Municipal Corporation,"In a landmark decision, the court upheld the right to privacy, balancing it with defamation laws to protect personal reputation."
30,Case 30 vs Case 31,"U. U. Lalit, R. F. Nariman","19 October, 2021",,Bail under CrPC|Section 149 in The Indian Penal Code,-1,Olga Tellis v. Bombay Municipal Corporation|Navtej Singh Johar v. Union of India,"The ruling reinforced that bail must be carefully weighed against the severity of the crime, with the burden on the prosecution to present strong evidence."
